shipment_id,origin,destination,rain_mm,wind_speed,traffic_index,distance_km,priority,historical_delay,target_risk
S-1078,Los Angeles,Chicago,89,32,98,6543,Medium,4.8,95
S-1079,Sydney,Dubai,99,20,39,2271,Low,7.4,80
S-1080,Tokyo,Frankfurt,50,25,9,10200,Medium,0.8,48
S-1081,Singapore,Sydney,76,15,72,1172,High,4.3,79
S-1082,Rotterdam,Dubai,64,43,1,7382,Critical,0.8,56
S-1083,Tokyo,New York,90,19,55,3385,High,4.9,88
S-1084,Chicago,New York,59,55,93,10207,High,2.6,82
S-1085,Dubai,Rotterdam,112,57,31,8113,Critical,2.7,91
S-1086,Rotterdam,Shanghai,62,27,45,4732,High,2.2,64
S-1087,Sydney,Singapore,71,1,66,3630,Low,1.9,51
S-1088,New York,Toronto,97,30,88,8300,Critical,3.6,92
S-1089,Dubai,Rotterdam,28,51,88,4486,High,5.3,78
S-1090,New York,Toronto,67,44,54,9517,High,2.8,77
S-1091,Singapore,Rotterdam,32,29,15,3655,High,1.0,41
S-1092,Sydney,Shanghai,24,27,94,8433,High,5.8,86
S-1093,Chicago,Tokyo,36,12,24,5353,Medium,2.9,41
S-1094,Mumbai,Toronto,16,35,5,1393,High,5.6,45
S-1095,Tokyo,New York,13,1,73,5158,Critical,3.8,60
S-1096,Shanghai,Mumbai,32,61,14,1570,Critical,3.9,64
S-1097,Tokyo,Sydney,6,19,19,9721,High,0.7,32
S-1098,Dubai,Toronto,97,53,77,10266,Medium,6.2,100
S-1099,New York,Chicago,38,75,54,5503,Low,4.9,72
S-1100,Dubai,Singapore,80,27,33,11320,Low,1.3,52
S-1101,Chicago,Dubai,20,0,52,7881,Critical,2.3,52
S-1102,Singapore,Rotterdam,89,58,9,11762,Medium,7.4,94
S-1103,Tokyo,Toronto,84,25,54,2380,Medium,5.2,81
S-1104,Singapore,Shanghai,9,7,21,5539,High,3.5,42
S-1105,Sydney,Singapore,89,51,34,8699,Critical,3.5,90
S-1106,Mumbai,New York,94,41,77,4602,Low,0.7,69
S-1107,Toronto,Tokyo,2,34,73,1159,Medium,3.8,53
S-1108,New York,Singapore,23,74,55,10900,Critical,7.8,97
S-1109,Rotterdam,New York,42,41,85,2213,Medium,2.6,66
S-1110,New York,Singapore,84,51,97,9512,Low,3.6,84
S-1111,Singapore,Frankfurt,14,51,65,518,Critical,3.3,60
S-1112,Chicago,Rotterdam,79,63,80,7742,Low,1.6,74
S-1113,Shanghai,Rotterdam,56,62,15,972,Medium,5.7,61
S-1114,Chicago,Mumbai,70,52,11,4181,Low,3.7,50
S-1115,Tokyo,Shanghai,63,37,65,4979,Critical,6.7,94
S-1116,Los Angeles,Chicago,70,18,49,3622,Medium,6.9,73
S-1117,Frankfurt,Rotterdam,119,64,34,542,High,5.8,100
S-1118,Toronto,Tokyo,84,62,19,7816,Critical,2.8,82
S-1119,Chicago,Frankfurt,58,41,24,11927,Medium,4.6,65
S-1120,Frankfurt,Mumbai,40,60,90,6746,Critical,7.9,100
S-1121,Tokyo,Shanghai,63,4,16,8729,High,7.0,80
S-1122,New York,Dubai,67,58,1,2861,Critical,7.0,77
S-1123,Dubai,Chicago,100,33,43,10711,Critical,5.2,100
S-1124,Rotterdam,Sydney,109,68,48,5688,Critical,7.0,100
S-1125,Toronto,Dubai,30,80,87,5208,Medium,6.0,82
S-1126,Dubai,Sydney,90,12,56,3225,High,7.2,82
S-1127,Rotterdam,Mumbai,37,45,47,7556,Medium,2.0,54
S-1128,Toronto,Sydney,101,23,21,3368,Low,4.9,65
S-1129,Toronto,Sydney,30,63,74,2844,Medium,3.7,62
S-1130,New York,Singapore,85,1,59,5212,Medium,0.6,54
S-1131,Toronto,Singapore,81,54,88,4597,Critical,6.8,100
S-1132,Frankfurt,Chicago,13,30,48,9870,High,4.6,68
S-1133,Singapore,Mumbai,106,50,35,632,Low,7.3,87
S-1134,New York,Singapore,99,29,77,6272,Medium,5.1,91
S-1135,Singapore,Sydney,96,17,80,2091,Low,2.5,67
S-1136,Mumbai,Tokyo,46,16,11,5335,High,6.0,58
S-1137,Los Angeles,Shanghai,100,69,46,9197,High,6.6,100
S-1138,New York,Singapore,95,43,14,8173,Low,1.1,52
S-1139,Tokyo,Sydney,50,71,46,1979,Critical,0.1,64
S-1140,Dubai,Chicago,47,33,74,6742,High,0.9,59
S-1141,New York,Mumbai,79,71,41,10495,Medium,5.2,90
S-1142,New York,Singapore,83,52,14,2790,Low,7.6,71
S-1143,New York,Dubai,12,30,68,2722,Critical,3.6,66
S-1144,Sydney,Chicago,53,75,95,3031,Critical,5.2,100
S-1145,New York,Tokyo,52,35,4,11809,High,1.7,56
S-1146,Los Angeles,Frankfurt,12,47,69,11064,High,0.5,54
S-1147,Los Angeles,Dubai,108,58,11,11358,Medium,5.1,88
S-1148,Mumbai,Dubai,100,42,31,2563,Medium,0.5,63
S-1149,Chicago,Los Angeles,75,27,29,5883,Medium,6.3,76
S-1150,Mumbai,Rotterdam,109,18,16,9350,High,6.4,83
S-1151,Tokyo,Mumbai,16,1,45,4398,High,0.1,32
S-1152,Mumbai,Los Angeles,94,53,67,2362,Low,3.8,81
S-1153,Rotterdam,Toronto,75,13,57,8754,Medium,7.6,79
S-1154,Sydney,Tokyo,66,38,58,11040,Low,0.5,57
S-1155,Frankfurt,New York,87,13,62,7767,Low,7.2,81
S-1156,Toronto,Shanghai,8,16,35,10728,High,3.0,53
S-1157,Chicago,Singapore,58,64,77,7548,Low,6.3,79
S-1158,Tokyo,Sydney,112,70,92,4022,Critical,3.6,100
S-1159,Frankfurt,Rotterdam,105,58,51,7315,Low,2.5,74
S-1160,Tokyo,Singapore,47,19,87,8270,Low,0.7,47
S-1161,Dubai,New York,12,47,16,9615,Low,4.7,49
S-1162,Chicago,Rotterdam,85,15,52,6293,Critical,6.9,99
S-1163,Mumbai,Rotterdam,76,39,45,2197,Medium,1.2,56
S-1164,Los Angeles,Dubai,44,71,47,2382,High,4.6,78
S-1165,Frankfurt,Toronto,98,79,78,11558,Low,4.9,100
S-1166,Sydney,Singapore,3,23,34,5562,High,2.8,39
S-1167,Shanghai,Tokyo,84,51,8,2824,Low,0.7,47
S-1168,Los Angeles,New York,53,58,43,3078,High,2.5,63
S-1169,Toronto,Tokyo,10,6,19,3079,Low,5.4,33
S-1170,New York,Sydney,54,62,77,7742,Critical,2.2,89
S-1171,Chicago,Dubai,44,55,14,5140,Critical,4.2,66
S-1172,Mumbai,Singapore,50,76,7,625,Medium,2.4,46
S-1173,Shanghai,Rotterdam,37,41,15,626,Critical,6.0,62
S-1174,Shanghai,New York,68,29,64,9654,High,0.6,74
S-1175,Sydney,Mumbai,55,2,58,1775,High,4.6,67
S-1176,Frankfurt,Sydney,53,37,14,7136,Low,7.7,62
S-1177,Toronto,New York,106,46,11,7655,Low,1.9,64
S-1178,Frankfurt,Toronto,10,50,39,6062,Medium,2.7,42
S-1179,Dubai,Toronto,81,14,67,8855,Medium,7.2,87
S-1180,Rotterdam,Sydney,104,18,30,2184,Medium,2.0,55
S-1181,Toronto,Shanghai,97,9,22,10788,Critical,3.7,83
S-1182,Toronto,New York,87,72,82,10908,High,6.9,100
S-1183,Rotterdam,Shanghai,56,8,60,7745,High,6.4,82
S-1184,Mumbai,Frankfurt,64,9,39,8065,Critical,0.3,58
S-1185,Singapore,Dubai,82,11,78,10233,Critical,3.7,92
S-1186,Sydney,Mumbai,57,73,83,3584,High,4.8,90
S-1187,Shanghai,Mumbai,57,13,43,1881,Medium,0.3,45
S-1188,New York,Chicago,67,66,78,3100,High,3.0,78
S-1189,Frankfurt,New York,99,43,86,10295,Low,6.3,100
S-1190,Rotterdam,Dubai,42,12,71,11614,Critical,2.3,77
S-1191,Tokyo,Toronto,111,19,42,1835,Medium,7.3,83
S-1192,Tokyo,Sydney,50,16,76,1888,High,4.5,74
S-1193,Rotterdam,Shanghai,85,67,11,11084,Critical,4.1,82
S-1194,Rotterdam,Singapore,23,27,43,8467,Medium,1.8,41
S-1195,Shanghai,Dubai,37,12,64,9343,Low,5.3,70
S-1196,Toronto,Shanghai,76,48,19,3158,Medium,6.7,80
S-1197,Toronto,Shanghai,92,56,5,7231,High,5.4,78
S-1198,New York,Tokyo,36,57,29,9249,Medium,2.5,61
S-1199,New York,Los Angeles,47,73,56,8064,High,6.2,90
S-1200,Chicago,Frankfurt,20,25,77,2767,High,0.4,48
S-1201,Rotterdam,Toronto,119,13,91,8952,Low,2.3,87
S-1202,Shanghai,Rotterdam,57,65,18,7667,Low,7.6,71
S-1203,New York,Rotterdam,119,3,53,1372,Critical,4.0,82
S-1204,Frankfurt,Dubai,47,28,3,5721,Low,6.7,58
S-1205,Rotterdam,Shanghai,17,4,36,8240,Medium,6.1,55
S-1206,New York,Tokyo,0,10,2,4693,Medium,6.7,42
S-1207,Sydney,Toronto,67,54,14,5220,Medium,2.4,50
S-1208,Los Angeles,New York,81,79,58,1529,Low,6.7,85
S-1209,Toronto,Chicago,2,80,65,9921,Medium,5.7,70
S-1210,Frankfurt,Mumbai,78,45,30,9849,Critical,1.5,78
S-1211,Dubai,Toronto,46,8,67,9414,Low,3.1,56
S-1212,Mumbai,Sydney,49,47,32,766,High,6.3,70
S-1213,Los Angeles,Sydney,80,13,98,10033,High,1.1,77
S-1214,Chicago,Rotterdam,104,22,99,11717,Critical,7.8,100
S-1215,Tokyo,Shanghai,103,17,8,7998,Low,2.3,49
S-1216,Los Angeles,Mumbai,40,39,65,7024,Critical,2.0,76
S-1217,Tokyo,Los Angeles,36,45,99,1283,High,2.2,73
S-1218,Rotterdam,New York,113,51,95,7704,Critical,2.7,100
S-1219,New York,Chicago,47,66,34,1853,Critical,0.6,62
S-1220,Shanghai,Toronto,37,41,13,1811,High,5.3,56
S-1221,New York,Tokyo,91,54,21,11801,Critical,2.8,79
S-1222,Sydney,Rotterdam,78,55,35,10977,Low,0.6,62
S-1223,Frankfurt,Rotterdam,65,20,3,2839,Critical,0.3,42
S-1224,Los Angeles,Sydney,46,46,49,9793,Low,4.8,70
S-1225,New York,Rotterdam,47,56,97,1759,Medium,4.2,75
S-1226,Rotterdam,Sydney,35,31,14,924,Medium,4.0,44
S-1227,Chicago,Dubai,33,33,90,7811,Medium,8.0,83
S-1228,Sydney,New York,25,15,17,1713,Critical,1.4,46
S-1229,New York,Dubai,103,40,85,6192,Low,4.4,83
S-1230,Singapore,Shanghai,91,22,46,8835,Medium,1.0,60
S-1231,Shanghai,Singapore,101,63,3,6412,High,3.7,79
S-1232,Shanghai,Tokyo,113,11,8,5567,Critical,8.0,99
S-1233,New York,Toronto,52,52,73,1708,Medium,7.8,88
S-1234,Dubai,Chicago,59,66,44,2602,Medium,6.1,71
S-1235,Frankfurt,Toronto,116,7,15,8988,Medium,2.4,61
S-1236,Rotterdam,Los Angeles,44,66,36,1792,High,1.6,58
S-1237,Singapore,Shanghai,80,38,78,9240,Low,4.0,74
S-1238,Toronto,Tokyo,19,21,84,10731,High,6.7,84
S-1239,Mumbai,Dubai,10,5,82,9949,High,5.2,74
S-1240,Toronto,Frankfurt,79,3,63,10775,High,5.1,82
S-1241,New York,Los Angeles,103,51,38,7930,Low,5.5,78
S-1242,New York,Frankfurt,61,59,26,6073,Medium,2.5,64
S-1243,Rotterdam,Frankfurt,51,16,97,6570,Low,2.6,62
S-1244,Dubai,Rotterdam,57,31,18,2086,Low,2.3,41
S-1245,Toronto,Frankfurt,31,20,41,9964,High,1.5,48
S-1246,New York,Toronto,59,63,39,8648,Low,0.7,53
S-1247,Chicago,New York,30,27,74,6281,Low,0.4,43
S-1248,Toronto,Sydney,86,60,36,9293,Low,6.8,85
S-1249,Shanghai,Rotterdam,93,46,97,7106,High,0.4,77
S-1250,Toronto,Chicago,24,46,70,5228,Low,3.1,54
S-1251,Chicago,Singapore,105,79,87,10511,Low,1.0,80
S-1252,Frankfurt,Rotterdam,101,43,71,6490,Medium,1.6,78
S-1253,Frankfurt,Toronto,5,5,4,2745,High,6.4,46
S-1254,New York,Shanghai,77,65,17,5873,High,1.3,67
S-1255,Sydney,Singapore,75,43,64,8851,Critical,5.7,95
S-1256,New York,Mumbai,47,42,86,2295,Critical,4.7,90
S-1257,Sydney,Tokyo,3,76,60,4850,Medium,5.8,69
S-1258,New York,Shanghai,67,80,92,10653,Critical,1.2,97
S-1259,Los Angeles,Mumbai,73,14,24,810,Critical,2.5,56
S-1260,Frankfurt,Los Angeles,52,64,99,10518,Critical,7.0,100
S-1261,Sydney,Mumbai,90,17,66,3897,High,8.0,96
S-1262,Chicago,Frankfurt,40,22,58,9234,High,4.4,74
S-1263,Sydney,Tokyo,82,33,78,8432,Medium,7.7,94
S-1264,Chicago,Singapore,28,38,98,5235,Medium,5.5,75
S-1265,Rotterdam,Chicago,44,71,92,4980,High,1.0,76
S-1266,Chicago,Frankfurt,114,50,44,2899,High,0.3,77
S-1267,Dubai,Frankfurt,118,56,83,4701,Critical,1.7,100
S-1268,Chicago,Singapore,119,71,89,4950,Medium,0.9,92
S-1269,Toronto,Los Angeles,31,6,85,9200,Medium,5.1,62
S-1270,Dubai,New York,42,60,12,11660,Medium,0.0,48
S-1271,Shanghai,New York,83,60,61,11158,Medium,6.0,92
S-1272,Rotterdam,Singapore,82,7,98,1965,Medium,4.3,81
S-1273,Mumbai,Los Angeles,53,22,4,7004,Critical,1.5,58
S-1274,Singapore,Mumbai,1,38,72,10375,Low,7.4,66
S-1275,Singapore,Chicago,82,69,67,8592,Medium,6.8,98
S-1276,Singapore,Los Angeles,103,14,42,3162,Critical,5.2,92
S-1277,Shanghai,Mumbai,94,43,37,9802,Medium,1.4,75
S-1278,Tokyo,Frankfurt,105,54,65,5872,Low,3.2,74
S-1279,Shanghai,Los Angeles,61,41,31,611,High,3.1,61
S-1280,Singapore,Frankfurt,38,74,92,9886,Low,2.1,68
S-1281,Sydney,Los Angeles,7,15,59,5526,Medium,3.2,47
S-1282,Sydney,Singapore,88,15,81,5333,High,4.9,84
S-1283,Shanghai,Chicago,19,58,95,10424,High,3.3,79
S-1284,New York,Toronto,102,27,97,4554,Low,4.2,85
S-1285,Sydney,Rotterdam,9,72,14,1511,Medium,4.6,43
S-1286,Shanghai,Frankfurt,109,66,56,2404,Medium,5.7,93
S-1287,Dubai,Toronto,57,7,58,2661,Critical,3.7,63
S-1288,Chicago,New York,86,39,92,856,Critical,2.0,78
S-1289,Sydney,Los Angeles,74,9,5,7441,High,5.6,70
S-1290,Mumbai,Shanghai,119,60,4,5203,Critical,1.4,74
S-1291,Tokyo,Sydney,53,47,48,7848,Critical,3.0,80
S-1292,Tokyo,Chicago,17,44,15,3424,Critical,4.2,61
S-1293,Los Angeles,Mumbai,96,2,38,8085,Critical,4.3,89
S-1294,Los Angeles,Singapore,58,44,19,5016,Medium,7.5,77
S-1295,Dubai,Mumbai,103,53,78,756,Medium,1.6,70
S-1296,Toronto,Mumbai,57,76,86,1297,Medium,5.9,85
S-1297,New York,Los Angeles,69,27,96,1424,Medium,4.0,72
S-1298,Los Angeles,Tokyo,40,73,76,11518,High,1.9,85
S-1299,Shanghai,Sydney,66,28,52,5423,High,0.5,61
S-1300,Sydney,Shanghai,80,54,71,8620,Low,7.8,98
S-1301,Tokyo,Frankfurt,100,67,40,11908,Critical,3.3,95
S-1302,Frankfurt,Shanghai,96,68,60,4448,Medium,2.4,83
S-1303,Shanghai,Chicago,117,7,71,7261,Critical,4.5,94
S-1304,Frankfurt,Los Angeles,32,26,42,11095,Low,7.4,74
S-1305,Rotterdam,Dubai,68,24,6,4898,Critical,5.4,75
S-1306,Mumbai,Shanghai,24,75,92,11501,Medium,3.8,85
S-1307,Rotterdam,Singapore,116,1,27,3613,Low,6.0,77
S-1308,New York,Los Angeles,89,77,90,3850,Critical,7.3,100
S-1309,Rotterdam,Singapore,48,59,68,11128,High,2.5,76
S-1310,Chicago,New York,59,12,92,8192,High,7.3,92
S-1311,Rotterdam,New York,5,72,28,2890,Low,2.1,44
S-1312,Toronto,Tokyo,92,53,37,2997,Medium,2.6,67
S-1313,Toronto,Los Angeles,63,70,83,11720,High,2.1,93
S-1314,New York,Sydney,94,62,58,3256,High,1.4,81
S-1315,Chicago,New York,23,69,82,1462,Low,6.7,66
S-1316,Tokyo,Mumbai,97,0,52,2752,Medium,0.5,49
S-1317,Mumbai,Singapore,64,58,47,1490,Critical,5.3,78
S-1318,Mumbai,Toronto,70,52,1,774,High,4.3,60
S-1319,Mumbai,Toronto,104,55,22,2253,Low,4.2,65
S-1320,Los Angeles,Tokyo,67,32,45,4879,Critical,0.6,64
S-1321,New York,Tokyo,31,28,38,11707,Low,5.2,65
S-1322,Tokyo,Mumbai,11,51,48,6679,Critical,0.4,46
S-1323,Sydney,Shanghai,10,63,55,11066,High,4.5,78
S-1324,Dubai,Toronto,117,5,29,3963,Critical,2.2,83
S-1325,Dubai,Sydney,118,35,69,9732,Low,1.4,83
S-1326,Rotterdam,Mumbai,26,75,18,7025,Low,2.4,48
S-1327,Los Angeles,Tokyo,106,49,86,9356,High,3.1,100
S-1328,Shanghai,Dubai,64,44,6,2100,Critical,1.9,53
S-1329,Rotterdam,Tokyo,98,78,76,6999,High,0.2,82
S-1330,New York,Chicago,29,45,70,6650,Critical,1.5,69
S-1331,Tokyo,Frankfurt,10,79,37,4537,Low,0.7,33
S-1332,Frankfurt,Sydney,19,49,40,6409,Low,0.7,34
S-1333,New York,Rotterdam,97,34,13,2670,Low,1.5,50
S-1334,Chicago,Toronto,65,52,13,930,Low,2.8,42
S-1335,Toronto,Tokyo,100,41,49,702,High,3.3,83
S-1336,Dubai,Toronto,115,31,73,9037,Medium,5.5,92
S-1337,Shanghai,Rotterdam,38,34,63,2890,Low,1.3,42
S-1338,Frankfurt,Singapore,61,9,46,4623,Medium,5.8,67
S-1339,Toronto,Tokyo,25,58,13,2719,High,0.1,38
S-1340,Rotterdam,Tokyo,48,42,56,5984,Critical,6.5,94
S-1341,Tokyo,Toronto,17,38,41,10383,Medium,3.8,51
S-1342,Frankfurt,Rotterdam,37,62,73,4471,High,3.0,78
S-1343,Frankfurt,Rotterdam,14,72,25,10203,Medium,5.5,66
S-1344,Mumbai,Chicago,120,26,56,5273,Low,6.6,94
S-1345,Frankfurt,Sydney,63,17,81,5461,Medium,2.0,59
S-1346,Sydney,Frankfurt,101,48,9,7857,Critical,4.7,89
S-1347,Chicago,Frankfurt,69,4,46,11995,Low,0.9,47
S-1348,Tokyo,Sydney,45,21,82,10538,Low,4.5,72
S-1349,Tokyo,Sydney,51,42,55,2235,Low,0.8,41
S-1350,Chicago,Toronto,71,74,88,9924,Medium,3.6,89
S-1351,New York,Sydney,75,64,19,6151,Low,3.9,61
S-1352,Frankfurt,Dubai,14,18,44,5610,High,3.6,48
S-1353,Chicago,New York,44,60,12,7678,Critical,2.6,63
S-1354,Mumbai,Shanghai,2,43,82,2291,Medium,7.4,73
S-1355,Los Angeles,Toronto,22,70,20,5922,Critical,7.7,78
S-1356,Frankfurt,Sydney,23,23,81,11269,Critical,3.2,79
S-1357,Toronto,Los Angeles,57,75,54,6870,Low,5.6,73
S-1358,Singapore,Dubai,73,13,68,3563,High,2.6,69
S-1359,Dubai,Rotterdam,85,62,67,10971,High,4.8,100
S-1360,Frankfurt,Tokyo,14,44,45,8001,Medium,6.5,70
S-1361,Singapore,Tokyo,75,10,86,2694,High,0.9,63
S-1362,Dubai,Los Angeles,47,18,65,6864,Critical,4.8,82
S-1363,Frankfurt,New York,23,62,81,9304,Medium,4.4,74
S-1364,Singapore,Shanghai,23,40,57,10648,Low,6.9,63
S-1365,New York,Shanghai,24,49,71,8781,Critical,3.3,76
S-1366,Frankfurt,Chicago,62,21,10,9763,Low,6.4,59
S-1367,Singapore,Mumbai,35,28,68,5229,Medium,6.2,73
S-1368,Sydney,New York,70,65,14,9883,Low,2.1,59
S-1369,Rotterdam,Toronto,105,5,97,7731,Medium,7.9,98
S-1370,Sydney,Tokyo,96,31,38,1028,Critical,2.1,79
S-1371,Dubai,Chicago,110,15,99,4382,Medium,6.5,100
S-1372,Sydney,Rotterdam,110,78,80,7515,Medium,4.9,100
S-1373,Los Angeles,Singapore,103,7,72,6247,High,4.8,84
S-1374,Rotterdam,Singapore,37,73,34,8928,Low,1.1,55
S-1375,Frankfurt,Mumbai,35,16,89,2674,Medium,1.2,49
S-1376,Los Angeles,Sydney,50,62,18,9960,High,5.0,74
S-1377,New York,Dubai,81,11,51,8947,High,5.6,91
S-1378,Rotterdam,Chicago,62,41,74,540,Low,5.8,72
S-1379,Tokyo,Sydney,89,45,8,9256,Critical,1.7,72
S-1380,Los Angeles,Chicago,34,41,36,6033,Medium,4.5,59
S-1381,Rotterdam,Sydney,97,6,5,2131,Critical,0.1,61
S-1382,Shanghai,Chicago,58,0,54,3814,Medium,7.1,68
S-1383,Shanghai,Rotterdam,11,46,32,1850,High,5.3,60
S-1384,Shanghai,Mumbai,50,80,39,11959,Medium,3.4,68
S-1385,Sydney,Dubai,0,27,61,1776,Medium,4.7,50
S-1386,Tokyo,New York,1,1,89,6129,Low,7.9,62
S-1387,Sydney,Shanghai,61,9,29,6776,Low,5.8,54
S-1388,Dubai,Frankfurt,47,38,17,6770,Medium,5.1,64
S-1389,Shanghai,Dubai,67,72,1,10499,Medium,3.5,71
S-1390,Los Angeles,Sydney,95,19,52,10593,Critical,6.9,97
S-1391,Dubai,Los Angeles,96,15,75,6791,High,7.7,100
S-1392,Shanghai,Singapore,35,10,31,9566,High,6.2,72
S-1393,Mumbai,Sydney,112,38,26,8982,Medium,6.0,85
S-1394,Tokyo,Mumbai,100,30,63,6822,Low,1.9,72
S-1395,Toronto,Dubai,67,1,46,5685,Medium,3.1,63
S-1396,Toronto,Frankfurt,46,69,87,3330,Critical,7.6,100
S-1397,Dubai,Mumbai,75,8,1,4795,Medium,0.3,31
S-1398,Frankfurt,Toronto,36,80,91,8709,Critical,3.4,90
S-1399,Dubai,Sydney,68,68,78,3001,High,0.7,67
S-1400,Chicago,Los Angeles,103,19,68,5853,Critical,4.7,100
S-1401,Tokyo,Sydney,82,8,39,11947,Critical,5.8,97
S-1402,Los Angeles,Mumbai,31,11,55,2400,Critical,4.9,60
S-1403,Singapore,Sydney,94,22,15,707,Medium,5.6,62
S-1404,New York,Rotterdam,66,66,100,4747,Medium,3.0,86
